assists,bonus,clean_sheets,code,first_name,form,goals_conceded,goals_scored,id,in_dreamteam,minutes,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,second_name,status,team,team_code,total_points,web_name,yellow_cards,player_type
0,15,11,98980,Emiliano,2.4,38,0,31,False,3139,50,1,0,1,3.8,0,98,Martínez Romero,a,2,AVL,135,Martínez,7,GKP
0,0,0,101184,Calum,0.2,4,0,32,False,345,42,0,0,0,0.9,0,0,Chambers,a,2,AVL,13,Chambers,2,DEF
0,4,3,101188,Lucas,0.8,25,1,33,False,1492,45,1,0,0,1.8,0,0,Digne,a,2,AVL,50,Digne,5,DEF
0,1,1,110504,Bertrand,0.4,1,2,34,False,226,49,0,0,0,2.5,0,0,Traoré,a,2,AVL,20,Traoré,1,MID
0,1,1,111782,Robin,0.0,8,0,35,False,280,39,0,0,0,2.5,0,11,Olsen,a,2,AVL,10,Olsen,0,GKP
0,0,0,122775,Morgan,0.0,1,0,36,False,10,43,0,0,0,1.0,0,0,Sanson,u,2,AVL,2,Sanson,0,MID
5,3,10,122806,John,1.6,31,1,37,False,2692,51,0,0,0,2.6,0,0,McGinn,a,2,AVL,90,McGinn,7,MID
0,0,0,123354,Kortney,0.0,0,0,38,False,0,44,0,0,0,0.0,0,0,Hause,u,2,AVL,0,Hause,0,DEF
3,17,12,149484,Tyrone,1.4,40,1,39,False,3150,47,1,0,0,3.7,0,0,Mings,a,2,AVL,130,Mings,7,DEF
8,25,13,178301,Ollie,3.2,40,15,40,False,3129,73,0,1,0,4.7,0,0,Watkins,a,2,AVL,175,Watkins,4,FWD
0,0,0,184704,Marvelous,0.0,0,0,41,False,0,43,0,0,0,0.0,0,0,Nakamba,u,2,AVL,0,Nakamba,0,MID
3,8,11,195546,Emiliano,1.8,34,5,42,False,2404,57,0,0,0,3.1,0,0,Buendía Stati,a,2,AVL,117,Buendía,0,MID
2,3,4,199796,Matty,0.8,29,0,43,False,1817,46,0,0,0,2.2,0,0,Cash,a,2,AVL,57,Cash,4,DEF
0,6,12,199798,Ezri,1.8,45,0,44,False,3322,44,0,0,0,2.9,0,0,Konsa Ngoyo,a,2,AVL,110,Konsa,6,DEF
5,6,8,215711,Leon,2.0,32,4,45,False,1964,43,0,0,0,3.0,0,0,Bailey,a,2,AVL,100,Bailey,4,MID
7,17,13,230046,Douglas Luiz,5.8,35,6,46,False,2922,48,0,0,0,3.8,1,0,Soares de Paulo,a,2,AVL,142,Douglas Luiz,6,MID
8,13,11,232653,Jacob,5.8,33,6,47,False,2634,51,1,0,0,3.9,0,0,Ramsey,a,2,AVL,135,Ramsey,5,MID
0,0,0,490094,Tim,0.0,0,0,49,False,0,45,0,0,0,0.0,0,0,Iroegbunam,u,2,AVL,0,Iroegbunam,0,MID
0,0,0,165659,Diego Carlos,0.2,3,0,50,False,205,47,0,0,0,1.3,0,0,Santos Silva,a,2,AVL,4,Diego Carlos,0,DEF
0,0,0,193488,Anwar,0.0,0,0,51,False,0,48,0,0,0,0.0,0,0,El Ghazi,u,2,AVL,0,El Ghazi,0,MID
