id,code,first_name,second_name,web_name,team_code,player_type,status,in_dreamteam,form,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,now_cost
43,230046,Douglas Luiz,Soares de Paulo,Douglas Luiz,AVL,MID,a,False,0.0,142,3.8,2922,6,7,13,35,0,0,0,6,1,0,17,55
44,476344,Jhon,Durán,Duran,AVL,FWD,i,False,0.0,11,0.9,126,0,0,0,4,0,0,0,1,0,0,0,50
45,123354,Kortney,Hause,Hause,AVL,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
46,490094,Tim,Iroegbunam,Iroegbunam,AVL,MID,i,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
47,226944,Boubacar,Kamara,Kamara,AVL,MID,a,False,0.0,44,1.8,1773,0,1,3,30,0,0,0,4,0,0,0,50
48,199798,Ezri,Konsa Ngoyo,Konsa,AVL,DEF,a,False,0.0,110,2.9,3322,0,0,12,45,0,0,0,6,0,0,6,45
49,98980,Emiliano,Martínez Romero,Martinez,AVL,GKP,a,False,0.0,135,3.8,3139,0,0,11,38,1,1,0,7,0,98,15,50
50,122806,John,McGinn,McGinn,AVL,MID,a,False,0.0,90,2.6,2692,1,5,10,31,0,0,0,7,0,0,3,55
51,149484,Tyrone,Mings,Mings,AVL,DEF,a,False,0.0,130,3.7,3150,1,3,12,40,1,0,0,7,0,0,17,45
53,111782,Robin,Olsen,Olsen,AVL,GKP,a,False,0.0,10,2.5,280,0,0,1,8,0,0,0,0,0,11,1,40
54,481624,Jaden,Philogene-Bidace,Philogene,AVL,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
55,232653,Jacob,Ramsey,J.Ramsey,AVL,MID,i,False,0.0,135,3.9,2634,6,8,11,33,1,0,0,5,0,0,13,60
56,122775,Morgan,Sanson,Sanson,AVL,MID,u,False,0.0,2,1.0,10,0,0,0,1,0,0,0,0,0,0,0,45
57,248164,Viljami,Sinisalo,Sinisalo,AVL,GKP,u,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
58,166989,Youri,Tielemans,Tielemans,AVL,MID,a,False,0.0,86,2.8,2341,3,3,6,49,0,0,1,4,0,0,6,60
59,110504,Bertrand,Traoré,Bertrand Traoré,AVL,MID,i,False,0.0,20,2.5,226,2,0,1,1,0,0,0,1,0,0,1,50
60,178301,Ollie,Watkins,Watkins,AVL,FWD,a,False,0.0,175,4.7,3129,15,8,13,40,0,0,1,4,0,0,25,80
61,213345,Wesley,Moraes Ferreira da Silva,Wesley,AVL,FWD,u,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50
584,244954,Pau,Torres,Pau,AVL,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
599,243557,Moussa,Diaby,Diaby,AVL,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65
618,549068,Omari,Kellyman,Kellyman,AVL,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
62,444180,Jaidon,Anthony,Anthony,BOU,MID,a,False,0.0,61,2.0,1241,3,1,2,29,0,0,0,2,0,0,4,50
63,168991,Philip,Billing,Billing,BOU,MID,a,False,0.0,126,3.5,2766,7,2,9,54,0,0,0,5,0,0,14,55
